1000, 0.01117, 0.005
2000, 0.00424, 0.005
3000, 0.00330, 0.005
4000, 0.00310, 0.005
5000, 0.00278, 0.005
6000, 0.00258, 0.005
7000, 0.00262, 0.005
8000, 0.00243, 0.005
9000, 0.00245, 0.005
10000, 0.00216, 0.005
11000, 0.00335, 0.02
12000, 0.00292, 0.02
13000, 0.00285, 0.02
14000, 0.00259, 0.02
15000, 0.00258, 0.02
16000, 0.00258, 0.02
17000, 0.00241, 0.02
18000, 0.00230, 0.02
19000, 0.00228, 0.02
20000, 0.00214, 0.02
21000, 0.00215, 0.02
22000, 0.00227, 0.02
23000, 0.00208, 0.02
24000, 0.00221, 0.02
25000, 0.00211, 0.02
26000, 0.00201, 0.02
27000, 0.00207, 0.02
28000, 0.00195, 0.02
29000, 0.00199, 0.02
30000, 0.00204, 0.02
31000, 0.00193, 0.02
32000, 0.00211, 0.02
33000, 0.00194, 0.02
34000, 0.00179, 0.02
35000, 0.00181, 0.02
36000, 0.00190, 0.02
37000, 0.00183, 0.02
38000, 0.00193, 0.02
39000, 0.00189, 0.02
40000, 0.00184, 0.02
41000, 0.00184, 0.02
42000, 0.00178, 0.02
43000, 0.00181, 0.02
44000, 0.00184, 0.02
45000, 0.00174, 0.02
46000, 0.00179, 0.02
47000, 0.00179, 0.02
48000, 0.00184, 0.02
49000, 0.00178, 0.02
50000, 0.00174, 0.02
51000, 0.00167, 0.02
52000, 0.00173, 0.02
53000, 0.00165, 0.02
54000, 0.00169, 0.02
55000, 0.00169, 0.02
56000, 0.00169, 0.02
57000, 0.00168, 0.02
58000, 0.00164, 0.02
59000, 0.00165, 0.02
60000, 0.00158, 0.02
61000, 0.00166, 0.02
62000, 0.00165, 0.02
63000, 0.00172, 0.02
64000, 0.00160, 0.02
65000, 0.00164, 0.02
66000, 0.00167, 0.02
67000, 0.00158, 0.02
68000, 0.00159, 0.02
69000, 0.00160, 0.02
70000, 0.00156, 0.02
71000, 0.00162, 0.02
72000, 0.00153, 0.02
73000, 0.00162, 0.02
74000, 0.00156, 0.02
75000, 0.00163, 0.02
76000, 0.00155, 0.02
77000, 0.00163, 0.02
78000, 0.00150, 0.02
79000, 0.00147, 0.02
80000, 0.00164, 0.02
81000, 0.00146, 0.02
82000, 0.00158, 0.02
83000, 0.00150, 0.02
84000, 0.00146, 0.02
85000, 0.00147, 0.02
86000, 0.00154, 0.02
87000, 0.00142, 0.02
88000, 0.00152, 0.02
89000, 0.00151, 0.02
90000, 0.00142, 0.02
91000, 0.00146, 0.02
92000, 0.00155, 0.02
93000, 0.00146, 0.02
94000, 0.00149, 0.02
95000, 0.00147, 0.02
96000, 0.00139, 0.02
97000, 0.00149, 0.02
98000, 0.00143, 0.02
99000, 0.00143, 0.02
100000, 0.00144, 0.02
101000, 0.00147, 0.02
102000, 0.00147, 0.02
103000, 0.00145, 0.02
104000, 0.00145, 0.02
105000, 0.00145, 0.02
